RenameResult;RenameResult.EqualityContract;RenameResult.OldPath;RenameResult.NewPath
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\EntryPoint.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Рефакторинг EntryPoint.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\EntryPoint.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Рефакторинг EntryPoint.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\FormatException.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Обработка FormatException.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\FormatException.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Обработка FormatException.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\GitHub. Отвязать локальныи репозитории.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\GitHub. Отвязать локальный репозиторий.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\GitHub. Отвязать локальныи репозитории.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\GitHub. Отвязать локальный репозиторий.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\nanoCAD WMI.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Ограничения nanoCAD WMI.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\nanoCAD WMI.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Ограничения nanoCAD WMI.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\NuGet пакета.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Сборка NuGet пакета.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\NuGet пакета.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Сборка NuGet пакета.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\try catch C#.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Стоимость try catch C#.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\try catch C#.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Стоимость try catch C#.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\visual studio output bat после ввода chcp1251.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\visual studio output bat.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\visual studio output bat после ввода chcp1251.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\visual studio output bat.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Visual Studio.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Перенос Visual Studio.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Visual Studio.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Перенос Visual Studio.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\WindowsAPICodePack.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Исходники WindowsAPICodePack.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\WindowsAPICodePack.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Исходники WindowsAPICodePack.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\WindowsBase.resources.dll.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Поиск WindowsBase.resources.dll.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\WindowsBase.resources.dll.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Поиск WindowsBase.resources.dll.md"
"RenameResult { OldPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\в диалогах.md, NewPath = d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Мультивыбор в диалогах.md }";dRz.NexusRenamer.RenameResult;"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\в диалогах.md";"d:\@Developers\В работе\Reminder\Nexus\Conversations\chatgpt\2026\02\Мультивыбор в диалогах.md"
